price,sector,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,has_servant_room,has_study_room,has_pooja_room,has_store_room,has_others,furnishing_type,luxury_score,super_built_up_area,built_up_area,carpet_area
3.25,Sector 54,14118.0,2302.0,3,3,3+,0.0,Old Property,0,0,1,0,0,1,120,,,2302.0
0.6,Sector 111,8450.0,710.0,2,2,3,9.0,New Property,0,0,0,0,0,0,52,,,710.0
0.27,Sector 95,2700.0,1000.0,2,2,0,1.0,Undefined,0,0,0,0,0,0,0,1000.0,1000.0,550.0
0.95,Chakkarpur,8886.0,1069.0,2,1,1,1.0,Old Property,0,0,0,0,0,0,59,,,1069.0
2.65,Sector 65,18492.0,1433.0,2,2,3,4.0,New Property,0,1,0,0,0,0,38,1433.0,1433.0,
0.36,Sector 79,7643.0,471.0,2,2,1,4.0,New Property,0,0,0,0,0,0,60,,546.0,471.0
0.55,Sector 37D,9166.0,600.0,2,2,3,3.0,New Property,0,0,0,0,0,0,0,600.0,600.0,
1.32,Sector 89,16923.0,780.0,3,3,3,1.0,Under Construction,0,0,0,0,0,0,45,,,780.0
0.59,Sector 99A,3975.0,1484.0,2,2,3,1.0,Under Construction,0,0,0,0,1,0,96,1252.13,1252.13,
0.45,Laxman Vihar,4705.0,956.0,2,2,1,0.0,Relatively New,0,0,0,0,0,1,46,,,850.0
0.9,Sector 37D,6225.0,1446.0,3,3,2,13.0,Relatively New,0,0,0,0,0,1,37,1285.0,1285.0,975.0
1.4,Sector 79,10000.0,1400.0,2,2,2,4.0,Undefined,1,1,0,1,0,2,83,,,1400.0
0.95,Sohna,6542.0,1452.0,2,2,3+,6.0,New Property,0,1,0,0,0,1,0,1452.0,1452.0,849.0
3.0,Sector 65,18000.0,1667.0,3,3,3,20.0,Under Construction,0,0,0,0,0,0,60,1828.0,1828.0,
3.67,Sector 65,17990.0,2040.0,3,3,2,27.0,Under Construction,1,0,0,0,0,0,43,2040.0,2040.0,
3.85,Sector 82A,7500.0,5133.0,5,6,3+,6.0,New Property,1,0,1,0,0,1,148,,,5140.0
3.29,Sector 65,17997.0,1828.0,3,3,3,33.0,New Property,0,0,0,0,0,0,49,1828.0,1828.0,
2.33,Sector 65,18477.0,1261.0,2,2,3,35.0,Under Construction,0,0,0,0,0,1,49,1261.0,1261.0,
2.79,Sector 65,14168.0,1969.0,3,3,3,26.0,New Property,0,0,0,0,0,0,15,1828.0,1828.0,
3.4,Sector 41,11724.0,2900.0,4,4,3,0.0,Undefined,0,0,0,0,0,0,0,,2900.0,
0.72,Sector 12,7272.0,990.0,2,2,1,2.0,Relatively New,0,0,0,0,1,1,16,,,990.0
0.4,Sector 104,7036.0,569.0,2,2,1,4.0,Relatively New,0,0,0,0,0,0,52,568.46,568.46,
0.56,Sector 95,4105.0,1364.0,2,2,2,10.0,Relatively New,0,0,0,0,0,1,60,1364.0,1364.0,
1.1,Sector 71,6790.0,1620.0,3,3,3,11.0,Relatively New,0,0,0,0,1,0,72,1620.0,1620.0,
0.71,Sector 37D,5420.0,1310.0,2,2,3,10.0,New Property,0,0,0,0,1,0,38,1310.0,1310.0,1000.0
0.78,Sector 79,6024.0,1295.0,2,2,3+,0.0,New Property,0,0,0,0,1,0,74,1295.0,1295.0,
